timestamp,metric,value,instance_type
2025-04-06 19:42:43,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:43:48,current_node_count,6,N/A
2025-04-06 19:43:48,pending_pods,0,N/A
2025-04-06 19:43:48,running_pods,0,N/A
2025-04-06 19:43:48,time_to_first_node_removal_seconds,155,N/A
2025-04-06 19:43:54,node_instance_type,ip-10-0-16-137.ec2.internal,m5.large
2025-04-06 19:43:54,node_status,Ready,m5.large
2025-04-06 19:43:54,node_age,35m,m5.large
2025-04-06 19:43:57,node_instance_type,ip-10-0-30-160.ec2.internal,spot
2025-04-06 19:43:57,node_status,Ready,spot
2025-04-06 19:43:57,node_age,11m,spot
2025-04-06 19:44:01,node_instance_type,ip-10-0-38-17.ec2.internal,m5.large
2025-04-06 19:44:01,node_status,Ready,m5.large
2025-04-06 19:44:01,node_age,35m,m5.large
2025-04-06 19:44:04,node_instance_type,ip-10-0-7-222.ec2.internal,spot
2025-04-06 19:44:04,node_status,Ready,spot
2025-04-06 19:44:04,node_age,11m,spot
2025-04-06 19:44:08,node_instance_type,ip-10-0-7-50.ec2.internal,spot
2025-04-06 19:44:08,node_status,NotReady,spot
2025-04-06 19:44:08,node_age,17m,spot
2025-04-06 19:44:11,node_instance_type,ip-10-0-8-97.ec2.internal,spot
2025-04-06 19:44:11,node_status,Ready,spot
2025-04-06 19:44:11,node_age,11m,spot
2025-04-06 19:44:20,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:44:21,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:45:26,current_node_count,4,N/A
2025-04-06 19:45:26,pending_pods,0,N/A
2025-04-06 19:45:26,running_pods,0,N/A
2025-04-06 19:45:35,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:45:36,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:46:41,current_node_count,4,N/A
2025-04-06 19:46:41,pending_pods,0,N/A
2025-04-06 19:46:41,running_pods,0,N/A
2025-04-06 19:46:50,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:46:51,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:47:56,current_node_count,2,N/A
